file,bars_N,global_key,key_stability,key_change_rate,chord_diversity,pitch_range,stepwise_ratio,note_density_mean,note_density_std,duration_entropy,error
temp_0.6_bars_16_001.mid,29,C:maj,0.9655172413793104,0.03571428571428571,0.06896551724137931,1.0,1.0,4.0,0.0,0.3602305054664612,
temp_0.6_bars_16_002.mid,16,C:maj,0.5,0.8,0.3125,28.0,0.4621212121212121,22.625,7.490619133289317,1.2772642374038696,
temp_0.6_bars_16_003.mid,20,C:maj,1.0,0.0,0.1,10.0,0.8113207547169812,16.0,0.0,-0.0,
temp_0.6_bars_16_004.mid,19,G:maj,1.0,0.0,0.3157894736842105,35.0,0.9006622516556292,10.473684210526315,3.330377267275026,0.15229736268520355,
temp_0.6_bars_16_005.mid,17,A:maj,0.8823529411764706,0.0625,0.11764705882352941,5.0,0.7292817679558011,14.470588235294118,4.202487317527471,0.8208239078521729,
temp_0.6_bars_32_001.mid,32,C:maj,0.5625,0.41935483870967744,0.4375,40.0,0.2631578947368421,31.46875,10.259094669487167,1.4091339111328125,
temp_0.6_bars_32_002.mid,9,C:maj,0.7777777777777778,0.375,0.5555555555555556,37.0,0.3119266055045872,65.66666666666667,20.061018031108105,0.25169533491134644,
temp_0.6_bars_32_003.mid,25,C:maj,0.36,0.4166666666666667,0.48,53.0,0.8623853211009175,67.6,27.194117010853653,0.7449299693107605,
temp_0.6_bars_32_004.mid,31,D:maj,0.45161290322580644,0.4666666666666667,0.4838709677419355,49.0,0.35826771653543305,29.838709677419356,6.711073055843907,1.1484814882278442,
temp_0.6_bars_32_005.mid,35,A:maj,0.9714285714285714,0.029411764705882353,0.05714285714285714,5.0,0.2579505300353357,12.742857142857142,1.4993876301030777,-0.0,
temp_0.6_bars_48_001.mid,48,C:maj,0.875,0.2127659574468085,0.2708333333333333,29.0,0.677570093457944,25.729166666666668,3.4565130751797963,1.0250270366668701,
temp_0.6_bars_48_002.mid,49,C:maj,0.9795918367346939,0.020833333333333332,0.10204081632653061,47.0,0.7562277580071174,19.857142857142858,14.698326990733694,0.30454951524734497,
temp_0.6_bars_48_003.mid,11,A:maj,1.0,0.0,0.18181818181818182,4.0,0.9473684210526315,32.27272727272727,0.4453617714151233,0.6931171417236328,
temp_0.6_bars_48_004.mid,48,G:min,1.0,0.0,0.020833333333333332,8.0,0.49869451697127937,8.0,0.0,-0.0,
temp_0.6_bars_48_005.mid,50,F:maj,0.38,0.5918367346938775,0.22,33.0,0.6824644549763034,15.2,9.446692542895635,1.3863606452941895,
temp_0.6_bars_64_001.mid,65,G:maj,0.6615384615384615,0.359375,0.26153846153846155,74.0,0.19411764705882353,25.123076923076923,13.76115792568421,0.8169373273849487,
temp_0.6_bars_64_002.mid,63,C:maj,0.2222222222222222,0.5161290322580645,0.19047619047619047,45.0,0.5842450765864332,29.19047619047619,20.78908225591221,0.9199686050415039,
temp_0.6_bars_64_003.mid,71,C:maj,0.9859154929577465,0.02857142857142857,0.04225352112676056,12.0,0.6912442396313364,8.211267605633802,1.3312653406667145,1.0288420915603638,
temp_0.6_bars_64_004.mid,66,C:maj,0.2878787878787879,0.8,0.18181818181818182,38.0,0.9276190476190476,26.151515151515152,3.7507268961856486,0.7927111983299255,
temp_0.6_bars_64_005.mid,14,D:maj,0.42857142857142855,0.6923076923076923,0.2857142857142857,32.0,0.2719298245614035,45.42857142857143,19.06273209962415,1.6121470928192139,
temp_0.7_bars_16_001.mid,16,C:maj,0.375,0.9333333333333333,0.75,34.0,0.4253731343283582,31.4375,9.103356180552312,1.748859167098999,
temp_0.7_bars_16_002.mid,11,C:maj,0.45454545454545453,0.9,0.45454545454545453,19.0,0.49295774647887325,36.54545454545455,17.489548236608663,1.6317466497421265,
temp_0.7_bars_16_003.mid,17,G:min,0.5294117647058824,0.1875,0.35294117647058826,26.0,0.8507462686567164,27.88235294117647,9.761161653031312,0.5241283178329468,
temp_0.7_bars_16_004.mid,17,C:maj,0.8823529411764706,0.125,0.17647058823529413,49.0,0.057034220532319393,21.705882352941178,7.0774264671506035,1.0834825038909912,
temp_0.7_bars_16_005.mid,16,C:maj,0.4375,0.8666666666666667,0.6875,19.0,0.5633802816901409,33.5625,6.234668696089632,1.3552802801132202,
temp_0.7_bars_32_001.mid,33,C:maj,0.09090909090909091,0.53125,0.36363636363636365,41.0,0.8151658767772512,20.90909090909091,8.335261484922867,0.7447323203086853,
temp_0.7_bars_32_002.mid,32,C:maj,0.5625,0.2903225806451613,0.34375,55.0,0.421259842519685,25.8125,9.494858806217184,1.153964638710022,
temp_0.7_bars_32_003.mid,19,F:maj,0.3157894736842105,0.8333333333333334,0.5789473684210527,38.0,0.35135135135135137,27.526315789473685,11.650021102545296,1.5079431533813477,
temp_0.7_bars_32_004.mid,33,A:min,0.3939393939393939,0.875,0.18181818181818182,20.0,0.4043478260869565,10.454545454545455,3.0559520570857477,0.42822563648223877,
temp_0.7_bars_32_005.mid,32,G:maj,0.5,0.6774193548387096,0.34375,31.0,0.4413145539906103,36.53125,14.924778840488726,1.3801478147506714,
temp_0.7_bars_48_001.mid,48,C:maj,0.2708333333333333,0.7872340425531915,0.375,12.0,0.6,6.041666666666667,1.0984521938720055,0.9544846415519714,
temp_0.7_bars_48_002.mid,54,C:maj,0.09259259259259259,0.8301886792452831,0.2777777777777778,17.0,0.6061320754716981,9.981481481481481,0.9523993237499105,0.554424524307251,
temp_0.7_bars_48_003.mid,50,C:maj,0.56,0.5102040816326531,0.42,48.0,0.5420289855072464,24.98,7.635417473851708,0.9882031679153442,
temp_0.7_bars_48_004.mid,6,A:min,0.3333333333333333,0.6,0.6666666666666666,42.0,0.7733333333333333,66.5,29.58462438497403,0.6184641718864441,
temp_0.7_bars_48_005.mid,47,C:min,1.0,0.0,0.02127659574468085,3.0,0.0,4.0,0.0,-0.0,
temp_0.7_bars_64_001.mid,11,C:maj,0.7272727272727273,0.1,0.45454545454545453,33.0,0.8674698795180723,50.90909090909091,26.383378188323405,0.023689312860369682,
temp_0.7_bars_64_002.mid,31,C:maj,0.22580645161290322,0.9,0.3225806451612903,24.0,0.6811594202898551,16.967741935483872,3.569439017709175,1.7319202423095703,
temp_0.7_bars_64_003.mid,64,C:maj,0.09375,0.4126984126984127,0.421875,50.0,0.3246753246753247,28.34375,19.896779536837112,1.3599514961242676,
temp_0.7_bars_64_004.mid,48,C:maj,0.4375,0.3191489361702128,0.25,39.0,0.5535055350553506,48.604166666666664,25.859991285875477,0.9955016374588013,
temp_0.7_bars_64_005.mid,9,C:maj,0.5555555555555556,0.875,0.4444444444444444,55.0,0.7857142857142857,62.666666666666664,20.763215336529917,1.2035225629806519,
