strategy,target_tokens,piece_id,filename,actual_tokens,target_reached,num_bars,num_notes,num_instruments,grammar_error_rate,incomplete_triplets,orphan_tokens,tokens_per_bar_mean,tokens_per_bar_std,ends_with_bar,repair_needed,success,generation_time_s,tokens_per_second,num_chunks,seed
single_shot,2048,1,single_shot_02048tok_001.mid,2048,True,26,504,2,0.000488,1,0,74.77,44.94,False,True,True,18.25,112.03,1,1042
single_shot,2048,2,single_shot_02048tok_002.mid,2048,True,32,400,1,0.0,0,0,62.66,1.26,False,False,True,17.85,114.55,1,2042
single_shot,2048,3,single_shot_02048tok_003.mid,2048,True,5,501,5,0.000488,1,0,390.6,79.48,False,True,True,17.85,114.55,1,3042
single_shot,2048,4,single_shot_02048tok_004.mid,2048,True,80,494,4,0.0,0,0,25.19,33.4,False,False,True,17.84,114.65,1,4042
single_shot,2048,5,single_shot_02048tok_005.mid,2048,True,8,477,9,0.000488,1,0,214.62,95.31,False,True,True,17.88,114.4,1,5042
single_shot,2048,6,single_shot_02048tok_006.mid,2048,True,12,497,7,0.0,0,0,166.75,75.3,False,False,True,17.86,114.47,1,6042
single_shot,2048,7,single_shot_02048tok_007.mid,2048,True,25,396,1,0.000488,1,0,78.68,4.59,False,True,True,17.88,114.35,1,7042
single_shot,2048,8,single_shot_02048tok_008.mid,2048,True,10,535,10,0.0,0,0,196.7,55.7,False,False,True,17.9,114.24,1,8042
single_shot,2048,9,single_shot_02048tok_009.mid,2048,True,4,620,3,0.000488,1,0,310.5,85.99,False,True,True,17.94,113.98,1,9042
single_shot,2048,10,single_shot_02048tok_010.mid,2048,True,14,436,3,0.000488,1,0,139.93,17.47,False,True,True,18.29,111.79,1,10042
single_shot,2048,11,single_shot_02048tok_011.mid,2048,True,11,506,5,0.000488,1,0,170.45,51.63,False,True,True,18.52,110.43,1,11042
single_shot,2048,12,single_shot_02048tok_012.mid,2048,True,24,335,1,0.0,0,0,82.75,33.09,False,False,True,18.31,111.69,1,12042
single_shot,2048,13,single_shot_02048tok_013.mid,2048,True,55,323,1,0.000488,1,0,36.69,5.38,False,True,True,18.65,109.65,1,13042
single_shot,2048,14,single_shot_02048tok_014.mid,2048,True,21,482,4,0.0,0,0,95.05,39.98,False,False,True,18.21,112.29,1,14042
single_shot,2048,15,single_shot_02048tok_015.mid,2048,True,12,477,4,0.0,0,0,164.58,68.48,False,False,True,18.54,110.31,1,15042
single_shot,2048,16,single_shot_02048tok_016.mid,2048,True,12,490,6,0.0,0,0,170.5,46.64,False,False,True,18.29,111.82,1,16042
single_shot,2048,17,single_shot_02048tok_017.mid,2048,True,29,498,1,0.0,0,0,69.86,13.66,False,False,True,17.77,115.09,1,17042
single_shot,2048,18,single_shot_02048tok_018.mid,2048,True,11,507,6,0.000488,1,0,162,119.27,False,True,True,18.29,111.82,1,18042
single_shot,2048,19,single_shot_02048tok_019.mid,2048,True,18,440,5,0.0,0,0,113.56,57.44,False,False,True,18.37,111.35,1,19042
single_shot,2048,20,single_shot_02048tok_020.mid,2048,True,19,451,7,0.000488,1,0,102.68,25.97,False,True,True,18.56,110.19,1,20042
single_shot,2048,21,single_shot_02048tok_021.mid,2048,True,12,519,4,0.0,0,0,167.25,14.04,False,False,True,18.43,110.95,1,21042
single_shot,2048,22,single_shot_02048tok_022.mid,2048,True,10,481,4,0.0,0,0,194.9,58.63,False,False,True,18.16,112.62,1,22042
single_shot,2048,23,single_shot_02048tok_023.mid,2048,True,40,328,1,0.000488,1,0,50,0.0,False,True,True,18.4,111.15,1,23042
single_shot,2048,24,single_shot_02048tok_024.mid,2048,True,13,516,5,0.000488,1,0,149.69,30.7,False,True,True,18.36,111.36,1,24042
single_shot,2048,25,single_shot_02048tok_025.mid,2048,True,20,470,4,0.0,0,0,97.15,38.53,False,False,True,18.4,111.16,1,25042
single_shot,2048,26,single_shot_02048tok_026.mid,2048,True,34,476,5,0.000488,1,0,57.29,48.66,False,True,True,18.36,111.36,1,26042
single_shot,2048,27,single_shot_02048tok_027.mid,2048,True,9,498,5,0.0,0,0,207.67,70.39,False,False,True,18.31,111.71,1,27042
single_shot,2048,28,single_shot_02048tok_028.mid,2048,True,29,422,3,0.0,0,0,70.52,12.29,False,False,True,18.3,111.77,1,28042
single_shot,2048,29,single_shot_02048tok_029.mid,2048,True,17,472,4,0.0,0,0,116.82,52.41,False,False,True,18.33,111.57,1,29042
single_shot,2048,30,single_shot_02048tok_030.mid,2048,True,10,496,3,0.000488,1,0,166.9,142.73,False,True,True,18.58,110.07,1,30042
single_shot,4096,1,single_shot_04096tok_001.mid,4096,True,36,864,1,0.0,0,0,113,47.36,False,False,True,37.06,110.45,1,1043
single_shot,4096,2,single_shot_04096tok_002.mid,4096,True,38,896,5,0.0,0,0,106.66,11.41,False,False,True,36.75,111.36,1,2043
single_shot,4096,3,single_shot_04096tok_003.mid,4096,True,34,887,5,0.000977,2,1,118.65,25.38,False,True,True,37.15,110.18,1,3043
single_shot,4096,4,single_shot_04096tok_004.mid,4096,True,32,989,3,0.001221,1,1,125.66,26.72,False,True,True,37.07,110.42,1,4043
single_shot,4096,5,single_shot_04096tok_005.mid,4096,True,73,716,3,0.000488,0,0,55.68,6.45,False,True,True,35.97,113.79,1,5043
single_shot,4096,6,single_shot_04096tok_006.mid,4096,True,22,962,5,0.000244,1,0,177.18,93.78,False,True,True,37.3,109.73,1,6043
single_shot,4096,7,single_shot_04096tok_007.mid,4096,True,40,923,5,0.000244,1,0,100.8,9.24,False,True,True,35.63,114.88,1,7043
single_shot,4096,8,single_shot_04096tok_008.mid,4096,True,25,978,8,0.000244,1,0,161.28,54.26,False,True,True,35.63,114.87,1,8043
single_shot,4096,9,single_shot_04096tok_009.mid,4096,True,103,847,1,0.000732,1,0,39.72,9.59,False,True,True,36.33,112.65,1,9043
single_shot,4096,10,single_shot_04096tok_010.mid,4096,True,23,747,4,0.0,0,0,170.74,102.99,False,False,True,36.46,112.27,1,10043
single_shot,4096,11,single_shot_04096tok_011.mid,4096,True,26,1056,2,0.000244,1,0,153.31,26.24,False,True,True,35.6,114.96,1,11043
single_shot,4096,12,single_shot_04096tok_012.mid,4096,True,66,950,3,0.000244,1,0,61.45,26.59,False,True,True,35.96,113.81,1,12043
single_shot,4096,13,single_shot_04096tok_013.mid,4096,True,26,817,3,0.000732,2,0,153.19,29.05,False,True,True,35.47,115.39,1,13043
single_shot,4096,14,single_shot_04096tok_014.mid,4096,True,42,930,2,0.000244,1,0,96.02,11.03,False,True,True,35.54,115.16,1,14043
single_shot,4096,15,single_shot_04096tok_015.mid,4096,True,32,953,5,0.000244,1,0,125.91,20.93,False,True,True,35.63,114.86,1,15043
single_shot,4096,16,single_shot_04096tok_016.mid,4096,True,24,996,5,0.000488,1,0,164.67,42.11,False,True,True,35.5,115.29,1,16043
single_shot,4096,17,single_shot_04096tok_017.mid,4096,True,28,994,8,0.000244,1,0,143.64,14.36,False,True,True,35.23,116.17,1,17043
single_shot,4096,18,single_shot_04096tok_018.mid,4096,True,28,865,3,0.000244,1,0,146.11,84.84,False,True,True,36.35,112.61,1,18043
single_shot,4096,19,single_shot_04096tok_019.mid,4096,True,30,834,3,0.0,0,0,136.53,63.79,True,False,True,36.76,111.35,1,19043
single_shot,4096,20,single_shot_04096tok_020.mid,4096,True,9,1090,4,0.000244,1,0,412.33,6.8,False,True,True,36.02,113.62,1,20043
single_shot,4096,21,single_shot_04096tok_021.mid,4096,True,24,1055,5,0.000244,0,1,168.88,104.62,False,True,True,35.64,114.85,1,21043
single_shot,4096,22,single_shot_04096tok_022.mid,4096,True,29,889,11,0.000488,0,1,135.52,35.75,False,True,True,36.31,112.73,1,22043
single_shot,4096,23,single_shot_04096tok_023.mid,4096,True,15,1046,6,0.001221,1,2,265.53,92.72,False,True,True,35.75,114.5,1,23043
single_shot,4096,24,single_shot_04096tok_024.mid,4096,True,28,1003,6,0.000244,1,0,140.21,53.4,False,True,True,37.1,110.31,1,24043
single_shot,4096,25,single_shot_04096tok_025.mid,4096,True,29,992,7,0.000244,1,0,137.14,26.03,False,True,True,36.32,112.69,1,25043
single_shot,4096,26,single_shot_04096tok_026.mid,4096,True,24,1044,6,0.000244,1,0,170.29,18.3,False,True,True,36.26,112.88,1,26043
single_shot,4096,27,single_shot_04096tok_027.mid,4096,True,21,1064,7,0.000244,1,0,186.9,70.32,False,True,True,36.17,113.16,1,27043
single_shot,4096,28,single_shot_04096tok_028.mid,4096,True,68,771,2,0.000244,1,0,59.75,3.93,False,True,True,36.34,112.64,1,28043
single_shot,4096,29,single_shot_04096tok_029.mid,4096,True,27,914,10,0.0,0,0,150.56,56.06,False,False,True,36.12,113.33,1,29043
single_shot,4096,30,single_shot_04096tok_030.mid,4096,True,18,1033,3,0.0,0,0,216.28,65.21,False,False,True,36.1,113.39,1,30043
single_shot,8192,1,single_shot_08192tok_001.mid,8192,True,37,2086,12,0.023071,30,29,217.97,201.31,False,True,True,72.98,112.21,1,1044
single_shot,8192,2,single_shot_08192tok_002.mid,8192,True,31,2087,17,0.040283,32,43,262.45,101.97,False,True,True,72.19,113.43,1,2044
single_shot,8192,3,single_shot_08192tok_003.mid,8192,True,30,2254,16,0.021729,27,23,273.03,197.71,False,True,True,71.85,113.97,1,3044
single_shot,8192,4,single_shot_08192tok_004.mid,8192,True,61,1931,6,0.038574,50,34,129.75,51.12,False,True,True,72.03,113.69,1,4044
single_shot,8192,5,single_shot_08192tok_005.mid,8192,True,56,1925,11,0.017212,22,16,145.71,39.58,False,True,True,71.83,114.01,1,5044
single_shot,8192,6,single_shot_08192tok_006.mid,8192,True,87,1916,20,0.071289,119,15,83.14,67.74,False,True,True,71.88,113.92,1,6044
single_shot,8192,7,single_shot_08192tok_007.mid,8192,True,69,2019,9,0.010986,15,16,116.38,53.59,False,True,True,71.83,114.0,1,7044
single_shot,8192,8,single_shot_08192tok_008.mid,8192,True,89,1579,20,0.037109,31,53,92.02,48.31,False,True,True,71.89,113.9,1,8044
single_shot,8192,9,single_shot_08192tok_009.mid,8192,True,35,1954,24,0.061279,33,67,229.6,60.49,False,True,True,71.29,114.87,1,9044
single_shot,8192,10,single_shot_08192tok_010.mid,8192,True,86,1870,14,0.015015,20,21,95.22,37.87,False,True,True,71.1,115.18,1,10044
single_shot,8192,11,single_shot_08192tok_011.mid,8192,True,37,2042,18,0.040283,24,52,219.86,97.36,False,True,True,71.41,114.67,1,11044
single_shot,8192,12,single_shot_08192tok_012.mid,8192,True,77,1944,11,0.015381,22,18,104.62,54.2,False,True,True,71.76,114.12,1,12044
single_shot,8192,13,single_shot_08192tok_013.mid,8192,True,24,2065,19,0.084351,56,41,299.42,169.28,False,True,True,71.8,114.05,1,13044
single_shot,8192,14,single_shot_08192tok_014.mid,8192,True,24,2005,20,0.063354,40,52,329.79,108.67,False,True,True,72.0,113.74,1,14044
single_shot,8192,15,single_shot_08192tok_015.mid,8192,True,22,1967,19,0.080688,18,68,354.05,305.67,False,True,True,71.44,114.63,1,15044
single_shot,8192,16,single_shot_08192tok_016.mid,8192,True,46,2052,12,0.042236,40,38,167.89,100.15,False,True,True,71.47,114.58,1,16044
